No,曲,歌手-ユニット,検索用,ジャンル,タイムスタンプ,配信日,動画ID,確度スコア
49,snooze,wotaku feat. 初音ミク,snooze,Vocaloid,1:42:41,2025/06/07,VcstWzhVQCw,0.70
50,それがあなたの幸せとしても,Heavenz feat. 巡音ルカ,それがあなたの幸せとしても,Vocaloid,2:04:52,2025/06/07,VcstWzhVQCw,0.70
51,季節は次々死んでいく,amazarashi,季節は次々死んでいく,その他,2:16:23,2025/06/07,VcstWzhVQCw,0.70
52,ぼくらの,Eve,ぼくらの,その他,2:30:58,2025/06/07,VcstWzhVQCw,0.70
53,スーパー・ノヴァ,古川P feat.miki,すーぱー・のゔぁ,その他,2:37:34,2025/06/07,VcstWzhVQCw,0.70
54,"<a href=""http:","/16.world/"">16.World</a> on Color/電ポルP feat. 初音ミク","<a href=""http:",Vocaloid,2:44:52,2025/06/07,VcstWzhVQCw,0.70
55,ユメヲカケル!,"スペシャルウィーク(CV.和氣あず未),サイレンススズカ(CV.高野麻里佳),トウカイテイオー(CV.Machico),ウオッカ(CV.大橋彩香),ダイワスカーレット(CV.木村千咲),ゴールドシップ(CV.上田瞳),メジロマックイーン(CV.大西沙織)",ゆめをかける!,その他,2:58:14,2025/06/07,VcstWzhVQCw,0.70
56,winning the soul,トウカイテイオー(CV.Machico),winning the soul,その他,3:05:34,2025/06/07,VcstWzhVQCw,0.70
57,花に亡霊,ヨルシカ,花に亡霊,その他,9:43,2025/05/12,7-Ijg1OqyJc,0.70
58,pure soul,GLAY,pure soul,その他,17:04,2025/05/12,7-Ijg1OqyJc,0.70
59,Listen!!,放課後ティータイム,listen!!,その他,31:36,2025/05/12,7-Ijg1OqyJc,0.70
60,マリオネットの心(M@STER VERSION),星井美希(CV.長谷川明子),まりおねっとの心(m@ster version),その他,40:53,2025/05/12,7-Ijg1OqyJc,0.70
61,恋心(KOI-GOKORO),B'z,恋心(koi-gokoro),その他,50:08,2025/05/12,7-Ijg1OqyJc,0.70
62,Calling,B'z,calling,その他,57:46,2025/05/12,7-Ijg1OqyJc,0.70
63,"<a href=""http:","/7.love/"">7.love</a> me, I love you/B'z","<a href=""http:",その他,1:08:18,2025/05/12,7-Ijg1OqyJc,0.70
